@@,area,Family,Species,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
->,saanich,Poaceae,Hordeum pusillum,Hordeum pusillum,"Plains and open ground; rare; Uplands, John Dean Park, and Island View Beach. A&OC Chatham Islands 1981.",,->1976-05-30,->A.&O. Ceska,->RBCM,->V188993,->Victoria: Esquimalt; Golf Hill,->TL,,remaining,remaining
->,saanich,Poaceae,Koeleria macrantha,Koeleria macrantha,"Sandy soil; Beacon Hill, Sidney, and Mount Finlayson.",,->1901-06-17,->J.R.Anderson,->RBCM,->V019742,->Victoria; Beacon Hill,->TL,,remaining,remaining
->,saanich,Poaceae,Leymus mollis ssp. mollis,Leymus mollis mollis,Sandy dunes and beaches; common in some areas of Oak Bay and Cadboro Bay.,,->1952-07-28,->T.M.C. Taylor,->BBM/UBC,->V045371,->Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Leymus triticoides,Leymus triticoides,"MF,HLR,AC Trial Island 1998. A&OC Chatham Island 1976, Island View Beach 1987, Cordova Spit 1976.",,->1971-06-27,->A. Ceska,->RBCM,->V179058,->Goldstream River; Goldstream tidal flats.,->TL,,remaining,remaining
->,saanich,Poaceae,Leymus vancouverensis,Leymus × vancouverensis,"Sandy shoreline Victoria to Sidney. Collections Eastham, Marr, Fairbarns, Roemer, Ceska, Taylor,Lomer and others.",,->1887-06-18,->J.M. Macoun,->CMN,->CAN 10091261,->Oak Bay,"->Notes: CMN = Canadian Museum of Nature, Ottawa. This specimen is an ISOTYPE and the HOLOTYPE is in the Smithsonian Institution, Washington, D.C. TL ",,remaining,remaining
->,saanich,Poaceae,Lolium multiflorum,Lolium multiflorum,Native of Europe; well established on meadows and waste places; common throughout.,,->1964-07-10,->H.J. Scoggan,->RBCM,->V050557,->Victoria and vicinity,->TL,,remaining,remaining
->,saanich,Poaceae,Lolium perenne,Lolium perenne,Native of Europe; well established on open meadows and waste places; cultivated as a forage plant; common throughout.,,->1916-06-01,->C.F. Newcombe,->RBCM,->V038930,"->Victoria; Oak Bay: original label reads: ""Uplands, Victoria""",->TL,,remaining,remaining
,saanich,Poaceae,Lolium temulentum,Lolium temulentum,"Native of Europe; waste places; weedy species, sporadic in Victoria.",,,,,,,,,remaining,remaining
->,saanich,Poaceae,Melica harfordii,Melica harfordii,HJ coll Lone Tree Hill 2002. HLR Mt Finlayson 1996. AC and HLR Woodwardia site 1991. HLR Bear Mt 1996.,,->1991-10-12,->A. Ceska,->RBCM,->V174358,->Saanich Inlet: Woodwardia site,->TL,,remaining,remaining
->,saanich,Poaceae,Melica subulata,Melica subulata,Shady to open coniferous forest; occassional; Uplands and Highland district.,,->1938-05-03,->J.W. Eastham,->UBC,->V019820,"->Victoria, Beacon Hill Park",->TL,,remaining,remaining
->,saanich,Poaceae,Mibora minima,Mibora minima,"Native of Europe; known only from Saanichton, where it was collected by J.M. Macoun in 1914; to our knowledge this is the only record of this species for British Columbia. On Lomer & Penny's non-established list.",not in FPNW2,,,,,,"->Known only from an old (1914) collection at the Experimental Station near Sidney. - IFBC. Collected by Macoun at the Dominion Experimental Station, Saanichton, V.I., in 1914. Not reported since. - The Grasses of British Columbia, Hubbard. tl",,remaining,remaining
,saanich,Poaceae,Nassella viridula,Nassella viridula,Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands; Victoria; specimen not examined. CDC Explorer all interior.,,,,,,,,,remaining,remaining
->,saanich,Poaceae,Panicum capillare,Panicum capillare,A&OC Langford 1976,,->1976-07-29,->A.&O. Ceska,->BBC/UBC,->V217602,"->Langford, small lake between Highway and Old Island Highway",->TL,,remaining,remaining
->,saanich,Poaceae,Panicum miliaceum ssp. ruderale,Panicum miliaceum ruderale,"AC Broad & Broughton Sts 1995, Betts Bazan Bay Rd 1990.",,->1990-10-17,->M. Betts,->RBCM,->V149477,"->North Saanich: on Bazan Bay Road, below E. Saanich Road, NE of Agriculture Canada Research Station",->TL,,remaining,remaining
,saanich,Poaceae,Pascopyrum smithii,Elymus smithii,No Saanich collections found at V. CDC Explorer nearest Bellingham.,,,,,,,,,remaining,remaining
->,saanich,Poaceae,Phalaris aquatica,Phalaris aquatica,Saanichton Experimental Farm 1939.,,->1939-06-20,->W.R. Foster,->UBC,->V020082,->Saanichton,->Note: Occurrence found under synonym Phalaris tuberosa var. stenoptera = Phalaris aquatica. TL,,remaining,remaining
->,saanich,Poaceae,Phalaris arundinacea,Phalaris arundinacea,"Native of Eurasia; wet places; Swan and Blenkinsop Lakes, Thetis Lake Park, and throughout the Saanich area.",,->1933-07-01,->V. Goddard,->RBCM,->V023595,->Saanich: Keating district,->TL,,remaining,remaining
->,saanich,Poaceae,Phalaris canariensis,Phalaris canariensis,Native of Europe; rare; collected at Oak Bay by M. C. Melburn in 1958. TMCT Teanook Lake 1963. Several other records at V.,,->1933-06-12,->J.W. Eastham,->UBC,->V020073,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Phleum pratense,Phleum pratense,Native of Europe; open grassy fields; common throughout.,,->1966-07-20,->A.S. Harrison,->BBC/UBC,->V217609,"->Oak Bay, Cattle Point",->TL,,remaining,remaining
->,saanich,Poaceae,Phragmites australis ssp. australis,Phragmites australis australis,Cosmopolitan; rare; known only from Elk Lake where it was collected by J.M. Macoun in 1914. Now?,,->1908-07-18,->J.M. Macoun,->CMN,->CAN 457489,->Swan Lake near Victoria,"->Note: CMN = Canadian Museum of Nature Herbarium, Ottawa TL",,remaining,remaining
->,saanich,Poaceae,Pleuropogon refractus,Pleuropogon refractus,"HLR Saanich , Alder seepage with Cinna latifolia. Voucher at UVIC? K&J Miskelly Wallace Drive 2011.",,->1974-05-20,->A.&O. Ceska,->RBCM,->V173661,->Iron Mine Bay,->TL,,remaining,remaining
->,saanich,Poaceae,Poa annua,Poa annua,"Native of Europe; widely introduced and well established, an annual weed of lawns and roadsides; very common throughout.",,->1893-06-01,->J.M. Macoun,->NY,->1783992,->Vicinity of Victoria,->Note: NY = The New York Botanical Garden Herbarium TL,,remaining,remaining
->,saanich,Poaceae,Poa bulbosa,Poa bulbosa,"Native of Europe; open grassy places; abundant in Victoria, Uplands, and Thetis Lake Park.",,->1921-05-05,->W.R. Carter,->CMN,->CAN 35519,->Victoria,"->Note: CMN = Canadian Museum of Nature Herbarium, Ottawa TL",,remaining,remaining
->,saanich,Poaceae,Poa compressa,Poa compressa,"Native of Europe; open ground, meadows, and waste places; cultivated for pasture and an escapee in the Saanich area.",,->1893-07-21,->J.M. Macoun,->NY,->1789274,->Vicinity of Victoria,->Note: NY = The New York Botanical Garden Herbarium TL,,remaining,remaining
->,saanich,Poaceae,Poa confinis,Poa confinis,Sand dunes and sandy soil meadows; sporadic at Saanichton Spit. HJ Sidney Spit June 1982.,,->1875-05-11,->J.M. Macoun,->CMN,->CAN 34708,->Cedar Hill  Near Victoria.,"->Note: CMN = Canadian Museum of Nature Herbarium, Ottawa TL",,remaining,remaining
->,saanich,Poaceae,Poa glauca ssp. rupicola->Poa glauca ssp. glauca,Poa glauca rupicola->Poa glauca glauca,"Rocky open places; sporadic; Oak Bay, Saanich, and Sidney. No vouchers for peninsula found at V.",,->1916-01-01,->G. Allen,->RBCM,->V024451,->Mandarte Island: Bare Island Indian Reserve 9. TL,,,remaining,remaining
->,saanich,Poaceae,Poa howellii,Poa howellii,"Shady forest roadsides, logging roads. HJ Sidney. HLR Mt. Newton X-Road.",,->1887-08-28,->J.M. Macoun,->CMN,->CAN 34533,->Mount Finlayson,"->Note: CMN = Canadian Museum of Nature Herbarium, Ottawa TL",,remaining,remaining
->,saanich,Poaceae,Poa infirma,Poa infirma,"Baxter inner harbour, raised concrete gravel bed with concrete planters, parking lot behind 1104 Wharf St 2006., FL same 2014, TCB Trial Island 1974.",,->1974-05-04,->T.C. Brayshaw,->RBCM,->V078076,->Victoria; Trial Island,->TL,,remaining,remaining
->,saanich,Poaceae,Poa macrantha,Poa macrantha,Sand dunes along the coast; Victoria and Saanichton Spit. No vouchers found at V.,,->1912-04-10,->F. James,->UBC,->V020362,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Poa nemoralis,Poa nemoralis,"Native of Europe; rare; known only from a wooded area in the Gorge, where it was collected by J. W. Eastham in 1939. HLR Mt Douglas.->Native of Europe; rare; known only from a wooded area in the Gorge, where it was collected by J. W. Eastham in 1939. (???) HLR Mt Douglas.",,->1908-07-18,->J.M. Macoun,->NY,->1792152,->Vicinity of Victoria,->Note: NY = The New York Botanical Garden Herbarium TL,,remaining,remaining
->,saanich,Poaceae,Poa palustris,Poa palustris,"Open ground; occasional in the Oak Bay, Cadboro Bay, and Swan Lake areas. Macoun Sidney 1912.",,->1894-08-19,->J.R. Anderson,->RBCM,->V000681,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Poa pratensis,Poa pratensis,Native of Europe; well established in open woods and meadows throughout.,,->1893-06-09,->J.M. Macoun,->NY,->1793378,->Vicinity of Victoria,->Note: NY = The New York Botanical Garden Herbarium TL,,remaining,remaining
->,saanich,Poaceae,Poa secunda ssp. secunda,Poa secunda secunda,Many collections for peninsula; All collections at V re-identified by LEP as P. scabrella; P. secunda ssp secunda/ P.sandbergii. Check current ids at V for peninsula.,,->1896-05-02,->J.R. Anderson,->RBCM,->V004120,->Victoria; Beacon Hill,->TL,,remaining,remaining
->,saanich,Poaceae,Poa trivialis,Poa trivialis,"Harrison Central Saanich, Observatory Hill 1967, Macoun Sidney 1912. Newcombe Swan Lake 1917.",,->1901-07-04,->J.R. Anderson,->RBCM,->V000679,->Victoria,->TL,,remaining,remaining
---,saanich,Poaceae,Podagrostis aequivalvis,Agrostis aequivalvis,No Saanich records V or CDC Explorer.,,,,,,,,,remaining,remaining
->,saanich,Poaceae,Podagrostis thurberiana,Agrostis humilis->Agrostis aequivalvis,"Rare; known only from the Uplands, where it was collected by M. C. Melburn in 1956. No additional records found.->No Saanich records V or CDC Explorer.",,,,,,,->Note: No occurrences found. DELETE. TL,,remaining,remaining
+++,saanich,Poaceae,Agrostis humilis,Agrostis humilis,"Rare; known only from the Uplands, where it was collected by M. C. Melburn in 1956. No additional records found.",,,,,,,Note: No occurrences found including M.C. Melburn 1956??? TL,,remaining,remaining
->,saanich,Poaceae,Polypogon interruptus,Polypogon interruptus,"Native of Europe; rare; known only from the salt marshes at Sidney, where it was collected by J.M. Macoun in 1914.",,->1914-06-12,->J.M. Macoun,->RBCM,->V024464,"->Sidney, salt marsh","->Note: ""known only from the salt marshes at Sidney"" FSP = Flora of the Saanich Peninsula by A.F. Szczawinski & A.S. Harrison 1972 page 38. TL",,remaining,remaining
->,saanich,Poaceae,Polypogon monspeliensis,Polypogon monspeliensis,"Native of Europe; sloughs; frequent; Victoria, Cadboro Bay, Island View Beach, Sidney, and Esquimalt Lagoon.",,->1916-09-02,->W.B. Anderson,->UBC,->V020774,"->Victoria, Old Indian Reserve",->TL,,remaining,remaining
---,saanich,Poaceae,Polypogon viridis,Polypogon viridis,No records found V or CDC Explorer.,,,,,,,,,remaining,remaining
---,saanich,Poaceae,Puccinellia distans,Puccinellia distans,"Newcombe collection re-identified as P. nuttalliana, no other records for peninsula. GD says no valid records for BC.",,,,,,,,,remaining,remaining
---,saanich,Poaceae,Puccinellia lemmonii,Puccinellia lemmonii,MCM collection re-identified as P. nuttalliana,,,,,,,,,remaining,remaining
---,saanich,Poaceae,Puccinellia maritima,Puccinellia maritima,No vouchers found V. Not known from area. Several iNaturalist reports for area. On Lomer & Penny's non-established list. Original id based on mis-identified P. nutkaensis.,,,,,,,,,remaining,remaining
---,saanich,Poaceae,Puccinellia nutkaensis,Puccinellia nutkaensis,"Wet saline soils; occasional; Oak Bay, Saanichton Spit, and Sidney.",,,,,,,,,remaining,remaining
---,saanich,Poaceae,Puccinellia nuttalliana,Puccinellia nuttalliana,"Shores and wet alkaline soil; rare; known from the Uplands and Esquimalt Lagoon, where it was collected by M. C. Melburn in 1961 and 1964. E-Flora shows many collections throughout 1960s to 2000s.",,,,,,,,,remaining,remaining
->,saanich,Poaceae,Puccinellia pumila,Puccinellia pumila,"Shores; rare; known from the Beacon Hill area, where it was collected by J. W. Eastham in 1936. Pojar Sidney Island 1976. LEP head of Misery Bay 1983.",,->1939,->J.W. Eastham,->FSP,->p. 39,->Beacon Hill,->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972 TL,,remaining,remaining
->,saanich,Poaceae,Schedonorus arundinaceus,Lolium arundinaceum,Native of Eurasia; escapee from cultivation in the Saanichton area; making sporadic occurrence in disturbed soil.,,->1918-06-20,->W.R. Foster,->UBC,->V019176,->Saanichton,->TL,,remaining,remaining
->,saanich,Poaceae,Schedonorus pratensis,Lolium pratense,Beacon Hill Park TCB 1997.,,->1997-06-12,->T.C. Brayshaw,->RBCM,->V169248,->Victoria; Holland Point,->Note: Found under synonym Festuca pratensis. TL,,remaining,remaining
->,saanich,Poaceae,Secale cereale,Secale cereale,"Sarela, Percy & Chang Deep Cove 2007.",,->2007-06-04,->J.M. Saarela,->UBC,->V237798,"->Saanich Peninsula, at corner of Derrick Road and Norris Road, south of Deep Cove. TL",,,remaining,remaining
->,saanich,Poaceae,Setaria pumila,Setaria pumila,Marr W Saanich Road 2007.,,->2007-11-01,->K. Marr,->RBCM,->V198614,->Victoria: W. Saanich Road (opposite Saanich Community Church) TL,,,remaining,remaining
->,saanich,Poaceae,Setaria viridis,Setaria viridis,Native of Europe; a weed in cultivated places; occasional in the Saanich area. var. viridis?,,->2019-11-01,->Gabe Schp,->iNaturalist,->35204375,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Torreyochloa pallida var. pauciflora,Torreyochloa pallida pauciflora,"Wet open areas; rare; John Dean Park and Sidney. Really, rare??",,->1913-07-08,->J.M. Macoun,->RBCM,->V000595,->Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Trisetum canescens,Trisetum canescens,Moist areas; occasionally in Victoria and the Sidney area.,,->1913-06-14,->J.M. Macoun,->RBCM,->V049131,->Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Trisetum cernuum,Trisetum cernuum,"Known from the Sidney area, where it was collected by J.M. Macoun in 1913. HRL states this is a characteristic species of moist forest and is found throughout.",,->1915-07-07,->J.M. Macoun,->RBCM,->V049132,->Sidney: near railway,->TL,,remaining,remaining
->,saanich,Poaceae,Trisetum flavescens,Trisetum flavescens,Native of Europe; planted as a forage grass; occasionally escaping. RTO Little D'arcy Island. Few collections for Saanichton at V - FL states probably from cultivation.,,->1939-08-06,->W.R. Foster,->WTU,->371196,->Saanichton,->Note: WTU = University of Washington. N.B. FL states probably from cultivation. TL,,remaining,remaining
->,saanich,Poaceae,Triticum aestivum,Triticum aestivum,Marr Parking lots W of Fisherman's Wharf 2007.,,->2007-06-27,->K. Marr,->RBCM,->V201697,->Victoria: Parking lots W of Fisherman's Wharf.,->TL,,remaining,remaining
->,saanich,Poaceae,Vulpia bromoides,Festuca bromoides,"Dry hills and meadows; an annual, locally abundant in Oak Bay, Uplands, Cadboro Bay, and Sidney.",,->1908-06-11,->J.M. Macoun,->USU,->UTC 00066034,->Vicinity of Victoria,->Note: USU = Utah Sate University TL,,remaining,remaining
->,saanich,Poaceae,Vulpia microstachys,Festuca microstachys,"Open parkland; sporadic; Oak Bay, Uplands, Sidney, and Goldstream.",,->1896-05-16,->J.R. Anderson,->UBC,->V019119,->Bare Island Indian Reserve Island 9,->TL,,remaining,remaining
->,saanich,Poaceae,Vulpia myuros,Festuca myuros,"Dry, rocky bluffs; native annual sporadic in Victoria, Oak Bay, Royal Oak, and Saanichton.",,->1963-05-11,->F. Tompka,->UBC,->V101088,->Halibut Island,"->Note: Found under Festuca megalura, synonym of Vulpia myuros. TL",,remaining,remaining
->,saanich,Poaceae,Vulpia octoflora,Festuca octoflora,"Open, dry places; sporadic; an annual, known only from Cadboro Bay, where it was collected by J. W. Eastham in 1938. No vouchers for peninsula at V.",,->1938-06-23,->J.W. Eastham,->UBC,->V019249,->Cadboro Bay,"->Note: Found under Festuca octoflora, synonym of Vulpia octoflora. TL",,remaining,remaining
->,saanich,Polemoniaceae,Collomia grandiflora,Collomia grandiflora,"Dry, open ground; occasional at Victoria, Saanich, and the Sidney district.",,->1894-07-17,->J.R. Anderson,->RBCM,->V004031,->Victoria,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Collomia heterophylla,Collomia heterophylla,"Open ground, roads, and thickets; Saanich, Goldstream, and the Highland district.",,->1913-06-08,->W. Taylor,->UBC,->V027156,->Victoria,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Collomia linearis,Collomia linearis,"Open, dry to moderately moist areas; Gordon Head, Thetis Lake, Mill Hill, Goldstream.",,->1931-05-03,->W. Newcombe,->RBCM,->V009067,->Mill Hill,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Gilia capitata,Gilia capitata,"Dry slopes and open places; often on cultivated ground; known from the Outer Wharf and Sidney. Marr Ogden Point parking lot, beside Pilot House 2007.",,->1913-07-23,->J.M. Macoun,->RBCM,->V003986,->Victoria: Outer Wharf,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Leptosiphon bicolor,Leptosiphon bicolor,"Dry, open places; occasional; Victoria, Thetis Lake Park, and Goldstream.",,->1897-05-01,->C.F. Newcombe,->RBCM,->V041214,->Macaulay Point: near Victoria,->Note: Found under synonym Linanthus bicolor (Nutt.) Greene. TL,,remaining,remaining
->,saanich,Polemoniaceae,Microsteris gracilis,Microsteris gracilis,"Open, grassy places and hillsides; Victoria, Cedar Hill, Saanich, and Thetis Lake Park; locally abundant.",,->1891-01-01,->C.F. Newcombe,->RBCM,->V041231,->Victoria; Cadboro Bay,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Navarretia intertexta,Navarretia intertexta,"Moist, open ground, fields; sporadic and rather rare; most abundant at Thetis Lake Park. Prigmore Beaver Lake 2013. MCM Thetis Lake 1961. AC thetis Lake 1986. AC Spencer Pond, Langford 1988.",,->1961-06-28,->M.C. Melburn,->RBCM,->V037269,->Thetis Lake: Area IV,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Navarretia squarrosa,Navarretia squarrosa,"Open ground, fields, and roadsides throughout; particularly common in North Saanich and Sidney.",,->1894-07-21,->J.R. Anderson,->RBCM,->V004005,->Victoria,->TL,,remaining,remaining
->,saanich,Polemoniaceae,Polemonium micranthum,Polemonium micranthum,Listed in Henry's Flora as occurring in Victoria; no vouchers found.,,->1915,->J.K. Henry,->Flora of Southern British Columbia,->p. 245,->Victoria,"->Note: J.K. Henry's Flora of Southern British Columbia was published in 1915 by W.J. Gage & Co., Limited in Toronto. TL",,remaining,remaining
->,saanich,Polygonaceae,Fallopia convolvulus,Fallopia convolvulus,Native of Europe; common weed of cultivated and waste places; very abundant throughout.,,->1997-09-01,->C. Knighton,->RBCM,->V168467,->Victoria: Royal British Columbia Museum; Native Plant Garden,->TL,,remaining,remaining
->,saanich,Polygonaceae,Fallopia japonica,Reynoutria japonica,"Finlayson Point Bethune 2020, Falkland Rd Carter 2019. Both iNaturalist reports.",,->2019-07-19,->roncarter,->iNaturalist,->29079206,"->973 Falkland Rd, Victoria",->TL,,remaining,remaining
->,saanich,Polygonaceae,Fallopia sachalinensis,Reynoutria sachalinensis,"Native of Japan and the Sachalin Islands; escapee from cultivation and established in some areas. P. polystachyum Wall., a native of Asia, resembles in habit P. sachalinense which is often cultivated as an ornamental and has managed to establish itself in some areas on the peninsula. Marr 2007 Colwood. Mager Clover Point iNaturalist observation 2021.",,->2007-06-19,->K. Marr,->RBCM,->V197321,->Colwood: Galloping Goose Trail crossing of Sooke Road (south side),->TL,,remaining,remaining
->,saanich,Polygonaceae,Persicaria amphibia,Persicaria amphibia,Ponds and swamps throughout; amphibium and coccineum merged in H&C2018,,->1972-01-01,->P. Warrington,->RBCM,->V184560,->Elk Lake,->TL,,remaining,remaining
->,saanich,Polygonaceae,Persicaria hydropiper,Persicaria hydropiper,Native of Europe; occasional in cultivated fields and waste places. Only herbarium record found from Native Plant Garden at V.,,->1997-09-01,->C. Knighton,->RBCM,->V168465,->Victoria: Royal British Columbia Museum; Native Plant Garden,->Note: Found as Polygonum hydropiper on GBIF. TL,,remaining,remaining
->,saanich,Polygonaceae,Persicaria hydropiperoides,Persicaria hydropiperoides,"Moist and swampy areas, often growing in mud; sporadic throughout. AC Prospect Lake 1970, JP Beaver Lake 2001, Warrington Elk Lake 1980.",,->1970-06-16,->A. Ceska,->RBCM,->V180492,->Saanich; Prospect Lake,->Note: Found as Polygonum hydropiperoides on GBIF. TL,,remaining,remaining
->,saanich,Polygonaceae,Persicaria lapathifolia,Persicaria lapathifolia,Widely distributed throughout in wet places; locally a common weed; variable species with a number of segregates recognized.,,->1924-09-01,->C.F. Newcombe,->RBCM,->V039543,->Elk Lake,->Note: Found as Polygonum lapathifolium on GBIF. TL,,remaining,remaining
->,saanich,Polygonaceae,Persicaria maculosa,Persicaria maculosa,"Native of Europe; a common and widely distributed weed throughout; mostly on moist, cultivated land.",,->1909-07-24,->J.M. Macoun,->F,->V0399161F,->Elk Lake,"->Note: F = Field Museum of Natural History, Chicago. TL",,remaining,remaining
->,saanich,Polygonaceae,Persicaria wallichii,Persicaria wallichii,"UBC 1912 record with general area Islands South, Victoria.",,,,,,,->No occurrence found at BBM. TL,,remaining,remaining
->,saanich,Polygonaceae,Polygonum aviculare,Polygonum aviculare,"Open, waste places, hard-packed soil and disturbed cultivated land; a common and aggressive weed throughout; 4 separable subspecies in area. Marr has P. a. depressum = P. arenastrum from Sidney 2007, TCB and Newcomb collections James Bay.",,->1931-08-30,->W.A. Newcombe,->MACF,->MACF031670,->Victoria,"->Note MACF = MACF - MacFadden Herbarium, California State University Fullerton TL",,remaining,remaining
->,saanich,Polygonaceae,Polygonum douglasii,Polygonum douglasii,RTO 1980 report from D'Arcy and Little D'Arcy Islands. HLR Mt Work 1996,,->1912-09-15,->W. Taylor,->UBC,->V042708,->Victoria,->TL,,remaining,remaining
->,saanich,Polygonaceae,Polygonum fowleri,Polygonum fowleri,"Around coastal salt marshes, occasional on beaches; collected at the Outer Wharf in Victoria by J.M. Macoun in 1913;",,->1913,->J.M. Macoun,->FSP,->p. 49,->Outer Wharf in Victoria,->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski + A.S. Harrison 1972. TL,,remaining,remaining
->,saanich,Polygonaceae,Polygonum paronychia,Polygonum paronychia,"Sandy dunes and beaches only; locally abundant in suitable habitat. James Island. Several iNaturalist records James Island, Cordova Spit, Trial Islands and Island View Beach.",,->1912-02-01,->F. James,->UBC,->V035608,->James Island,->TL,,remaining,remaining
->,saanich,Polygonaceae,Polygonum spergulariiforme,Polygonum spergulariiforme,On gravelly or sandy soil; occasional throughout.,,->1866-07,->J.T. Rostock,->F,->V0388557F,->Victoria,"->Note: F = Field Museum of Natural History, Chicago. TL",,remaining,remaining
,saanich,Polygonaceae,Pterostegia drymarioides,Pterostegia drymarioides,Hyde Gowland Tod Park iNaturalist observation 2021. No PNW herbarium records.,not in FPNW2,,,,,,,,remaining,remaining
->,saanich,Polygonaceae,Rumex acetosa,Rumex acetosa,Occasional escapee from cultivation and well established in many areas. FL Martindale Rd 2008-14.,,->2008-07-16,->F. Lomer,->UBC,->V227521,"->Victoria: Central Saanich, Martindale Road, S side, 150 m E of Lochside Drive. TL",,,remaining,remaining
->,saanich,Polygonaceae,Rumex acetosella,Rumex acetosella,Native of Europe; a very common and troublesome weed throughout.,,->1931-10-02,->U.A. Newcombe,->MACF,->MACF031756,->Saanich,"->Note: MACF = MACF - MacFadden Herbarium, California State University Fullerton TL",,remaining,remaining
->,saanich,Polygonaceae,Rumex conglomeratus,Rumex conglomeratus,Native of Europe; sporadic and weedy in open and disturbed habitats throughout.,,->1993-08-16,->A. Ceska,->RBCM,->V178096,->Victoria: Interurban Road and Quale Road TL,,,remaining,remaining
->,saanich,Polygonaceae,Rumex crispus,Rumex crispus,"Native of Europe; weedy species, naturalized and common throughout.",,->1912-09-15,->W. Taylor,->UBC,->V042723,->Victoria,->TL,,remaining,remaining
->,saanich,Polygonaceae,Rumex maritimus,Rumex maritimus,Sporadic on the beaches along the coast.,,->1938-07-13,->J.W. Eastham,->UBC,->V035731,"->Victoria, Swan Lake",->Note: Synonym R. fueginus TL,,remaining,remaining
->,saanich,Polygonaceae,Rumex obtusifolius,Rumex obtusifolius,Native of Europe; a roadside and wet wasteland weed; common locally.,,->2019-03-08,->naturelover240,->iNaturalist,->21067200,->3895 Tudor Ave. Victoria,->TL,,remaining,remaining
->,saanich,Polygonaceae,Rumex occidentalis,Rumex occidentalis,Wet ground and swampy areas; occasional throughout.,,->1893-05-31,->J.M. Macoun,->CMN,->CAN 10089905,"->Cadboro Bay, near Victoria","->Note: CMN = Canadian Museum of Nature Herbarium, Ottawa TL",,remaining,remaining
->,saanich,Polygonaceae,Rumex salicifolius,Rumex salicifolius,Sand dunes and wet sandy ground; locally abundant throughout. Several subspecies CDC Explorer lists as R. californicus. Considered species level R. c. as of 2019.->Sand dunes and wet sandy ground; locally abundant throughout. Several subspecies CDC Explorer lists as R. californicus. Considered species level R. c. as of 2019. ???,,->2007-06-27,->K. Marr,->RBCM,->V197376,"->Victoria: Galloping Goose Trail; along drainage ditch adjacent to ""Rail Yards"" TL",,,remaining,remaining
->,saanich,Polypodiaceae,Polypodium glycyrrhiza,Polypodium glycyrrhiza,"Slopes, mossy rocks, tree trunks; common throughout; a very variable species, broken up into a number of taxa by some authors; var. occidentale Hook. is most common in our area.",,->1896-05-22,->J.R. Anderson,->UBC,->V004823,->Victoria,->TL,,remaining,remaining
->,saanich,Polypodiaceae,Polypodium hesperium,Polypodium hesperium,TCB Trial Island and Griffen Island 1992. Hybrid between P. amorphum and P. glycyrrhiza.,,->1966-05-04,->A.S. Harrison,->QFA,->QFA0212241,"->Summit of Bear Hill, V.I.","->Note: QFA = Herbier Louis-Marie (QFA) - Collection de plantes vasculaires, Université Laval. TL                          ",,remaining,remaining
->,saanich,Portulacaceae,Portulaca oleracea,Portulaca oleracea,Weedy; sparingly established in cultivated areas. Marr Central Saanich 2007.,,->2007-06-29,->K. Marr,->RBCM,->V197396,->Pederson Strawberry Farm: 6300 Central Saanich TL,,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton amplifolius,Potamogeton amplifolius,Shallow waters; restricted to lakes in the Highland district; recently relocated by T. C. Brayshaw at Elk Lake.,,->1971-06-08,->W. McCormick,->RBCM,->V171126,->Elk Lake; Saanich: east end of lake TL,,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton berchtoldii,Potamogeton berchtoldii,Many collections throughout peninsula. Same habitat as P. pusillus. Plants previously identified as P. pusillus var. tenuissimus belong here.,,->1980-06-11,->P. Warrington,->RBCM,->V171160,->Elk Lake; Saanich,->Note: Potamogeton pusillus var. tenuissimus =  P. berchtoldii here. TL,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton foliosus,Potamogeton foliosus,"TCB 1992 single collection, Elk Lake, Saanich.",,->1992-08-03,->T.C. Brayshaw,->RBCM,->V177639,->Saanich Peninsula; Elk Lake: E side of lake just N of Eagle Beach TL,,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton friesii,Potamogeton friesii,Check for colls. at V. TCB reports Elk Lake. Possibly hybrid P. fresii x zosteraformis. AC Second Lake 1971. Durrance lake PDW 1977.,,->1971-08-23,->A.&O. Ceska,->RBCM,->V190289,->Second Lake,->TL,,remaining,remaining
